Instrument,Sales,AV_kept,AV_repro,EPV,MktCap,Fr_kept,Fr_repro,EPVoverAV_kept,EPVoverAV_repro,MktCap_over_EPV,AVrepro_over_MktCap,ROICm7,WACC,CoreMoat,CompanyMoat
LIF.OQ,489481000.0,1167676899.8342094,838828763.7862501,1746182929.637408,5326168191.96615,578506029.8031986,907354165.8511579,1.4954333085507958,2.0816917647835567,3.050177677015844,0.15749197801367162,0.0604979635,0.06902532672028003,7.1,6.55
CLBT.OQ,475675000.0,1121882050.6126251,966838618.30183,2043880285.5073864,4481916187.26,921998234.8947613,1077041667.2055564,1.8218317018186418,2.1139828786496846,2.192846723479883,0.215719923779499,0.0,0.08,8.5,7.65
AUR.OQ,3000000.0,4595554923.412708,3643644923.4127088,-6869577653.175348,7431824601.6,-11465132576.588057,-10513222576.588057,-1.4948309328602096,-1.8853586992063893,,0.4902759576199184,0.0,0.07,6.2,4.95
KXS.TO,548030000.0,990202618.8087533,909769141.4815173,1860041402.233329,3526291865.9283,869838783.4245758,950272260.7518117,1.8784452463587915,2.044520216639066,1.8958136424782395,0.25799598447079186,0.1165803726,0.07,7.75,7.4
CSU.TO,11623000000.0,16917243481.157463,11584717696.452076,56985387564.16928,101955285837.948,40068144083.01182,45400669867.71721,3.3684794823482904,4.919013916206311,1.789147888537911,0.11362547415996961,0.1795704758,0.06787165711260111,9.05,8.3
KVYO.N,1234019000.0,2768597002.476042,2826097616.1139736,3758030802.6940145,9877374000.0,989433800.2179728,931933186.5800409,1.357377328420529,1.3297597299068162,2.6283376902922724,0.28611831607408744,0.0,0.07,7.15,6.2
3788.T,138254081.095707,227566133.80141163,204727225.75231653,194454365.35842866,175786881.583147,-33111768.44298297,-10272860.393887877,0.8544960627934279,0.9498217183565208,0.9040006957885838,1.1646331279588733,-0.0013770106,0.07400000000000001,7.6,6.5
CHKP.OQ,2725400000.0,6172496181.054455,3789783525.638896,12069385872.235514,19920742214.32,5896889691.181059,8279602346.596618,1.955349265226064,3.184716433163768,1.6505182968874823,0.1902430885790297,0.0586022232,0.08,7.85,7.15
KTN.DE,1816679142.13981,2273741653.7738557,2051315150.5016687,3487464850.0828304,,1213723196.3089747,1436149699.5811617,1.5337999566901062,1.7001116816350417,,,0.0661289334,0.06463928355930128,8.7,6.0
IXXG.DE,372625961.010872,334106906.62752676,20866766.69764951,534035617.20735204,,199928710.57982528,513168850.50970256,1.5983974189516301,25.59263852159268,,,0.3192777481,0.06517174964915326,8.75,7.95
IVUG.DE,169227984.513493,296280684.0334892,272654447.800434,530072107.5035257,,233791423.47003645,257417659.70309168,1.7890876323331646,1.9441168547945542,,,0.2400074724,0.07,8.3,7.6
3673.T,139220820.77605,373256292.13250643,215208663.66975042,283980763.3428584,461830419.40632,-89275528.78964806,68772099.67310795,0.7608197619935764,1.3195600888012693,1.6262736037818817,0.4659906637297729,-0.3197507688,0.0735254798695974,7.9,7.0
APPF.OQ,950822000.0,1380272364.4402509,1158546966.9324653,3473726528.8615417,8357106730.5,2093454164.4212909,2315179561.929076,2.5166964277157433,2.998347609557062,2.4058044469145092,0.13863015087557104,0.2213020036,0.07,8.05,7.25
SPSC.OQ,751505000.0,1605662187.7742496,1012010166.8978812,2639460448.703409,3361011548.22,1033798260.9291596,1627450281.8055282,1.643845429506065,2.608136296490141,1.2733706806900784,0.3011028532269829,0.1461341209,0.07,8.45,7.55
4493.T,34008302.0919045,15574226.974088669,16594476.036845803,-26194876.35559311,118930256.571976,-41769103.329681784,-42789352.39243892,-1.6819374983538091,-1.5785298853323786,,0.13953115477223332,0.08859083870000001,0.07400000000000001,7.5,6.8
3663.T,63349995.1047367,71406119.14903419,67234521.97057714,232917093.18212044,386213394.446218,161510974.03308624,165682571.21154332,3.2618646126950424,3.4642485192956167,1.6581582277614701,0.1740864582570552,0.1071783424,0.07400000000000001,7.45,6.75
MANH.OQ,1081392000.0,1119581156.7217686,1129295639.5629568,3892631052.2709846,10371787383.21,2773049895.5492163,2763335412.708028,3.476863672544247,3.4469548237850742,2.6644671030816123,0.10888148762006798,0.447442486,0.07,8.1,7.5
ASEP.WA,479982738.474196,442249835.8247344,354128520.1251724,734147437.4419565,,291897601.61722213,380018917.31678414,1.660028739350177,2.0731101724946086,,,0.2910978291,0.06963224377198923,7.7,6.45
LWSA3.SA,266613494.341187,619854893.3983663,331037176.1450195,906412886.2899565,417358184.028382,286557992.8915901,575375710.144937,1.462298508801843,2.7380999827429613,0.4604504087940244,0.7931728400526767,0.0606937645,0.1,6.25,5.75
CRWV.OQ,5131000000.0,5511141477.5,29382853944.61051,3421966598.925476,35725272693.8651,-2089174878.574524,-25960887345.685036,0.6209179373993808,0.11646134188925998,10.43998287566077,0.8224668904950379,0.0,0.07,5.6,5.4
IDR.MC,6233999741.26524,9223937301.63805,22369774303.841465,12436750150.682034,10071062416.2644,3212812849.0439835,-9933024153.159431,1.3483125203456696,0.5559622543239663,0.8097824829030679,2.2211930955482004,0.1872623752,0.06705137324452823,8.55,6.8
CDNS.OQ,5296759000.0,12526031357.380207,7814874127.380207,27198401883.438618,85084588580.0,14672370526.05841,19383527756.05841,2.17135029503288,3.480337807124269,3.128293674923925,0.09184829189169016,0.0,0.07,9.75,9.15
QTCOM.HE,244461646.530609,441013368.4344578,202550564.10202056,1139212095.240619,985387818.540573,698198726.8061612,936661531.1385984,2.5831690755422656,5.624334349751903,0.8649731008451451,0.20555415876970334,0.2700896784,0.06374034871334941,8.0,7.0
TRUEb.ST,195702746.350791,215064973.4873758,148651785.84854788,813633439.202326,731752891.129471,598568465.7149503,664981653.3537781,3.783198286587034,5.4734185301432365,0.8993643278069673,0.20314478787928222,0.9100414691000001,0.07,6.5,5.35
AIP.OQ,70579000.0,195765460.6249297,237052399.41958576,16005001.413631506,686166648.0,-179760459.2112982,-221047398.00595427,0.08175600211875861,0.06751672395140978,42.87201420773321,0.34547350867392457,0.0,0.07,7.8,6.9
QLYS.OQ,669125000.0,1307318071.7747126,1525622933.8675394,3357338716.2374115,4765569133.2,2050020644.462699,1831715782.369872,2.5681116085848577,2.200634666474481,1.4194484191159598,0.3201344668864575,0.4159476456,0.07,7.7,7.0
AKAM.OQ,4208175000.0,9088751978.31191,10660488195.485893,6367976402.655933,12651250000.0,-2720775575.6559772,-4292511792.82996,0.700643654690056,0.5973437881909017,1.986698630780645,0.8426430744381697,0.0254973549,0.06553585687997975,6.1,5.65
QTWO.N,794809000.0,1542909845.0049624,1421275247.559831,1746359567.6634014,4512165160.8,203449722.65843892,325084320.10357046,1.1318610567669198,1.2287272086541319,2.583754940477234,0.31498741666358704,0.0113574009,0.06865800229439166,7.5,6.8
CCSI.OQ,349696000.0,431937094.4925031,161001199.76209068,1331837509.8292816,413673335.36,899900415.3367784,1170836310.067191,3.083406187639662,8.27222102566515,0.3106034574841084,0.3891988823064437,-0.3030804579,0.05684423876708442,7.15,6.2
BSY.OQ,1501779000.0,3030551840.105899,402866700.40484405,5037858019.069437,11585255500.22,2007306178.9635382,4634991318.664593,1.6623566547844948,12.505024649609542,2.299639143534251,0.034774088529786314,0.0717571916,0.06581197380467613,8.75,7.8
TYL.N,2332340000.0,5022515733.577277,2542187840.8682365,7466760209.8405905,19532437125.6,2444244476.2633133,4924572368.972354,1.4866574055552844,2.937139455159403,2.615918628250284,0.1301521066992886,0.07513714810000001,0.07,8.85,8.4
SHFG.DE,335438077.505139,574660280.9747792,295868751.56421876,1286789051.3041427,,712128770.3293635,990920299.739924,2.2392169667988893,4.349188768672122,,,0.2022614674,0.06850889120081133,8.05,7.15
079940.KQ,236359787.143572,268717600.3067948,481394842.2444905,294552987.5519589,303035597.809109,25835387.245164096,-186841854.6925316,1.096143264213687,0.611873999685193,1.0287982489250893,1.5885752225972318,0.1439455019,0.07197691708296981,7.0,6.15
TOTS3.SA,1033809594.65579,2243164277.861075,1349527601.4890697,2193252477.361567,4605225219.73343,-49911800.499507904,843724875.8724973,0.9777493779692764,1.6252001625913621,2.099724161840871,0.29304269326640797,0.1229506673,0.09955289815278011,8.25,7.75
TOI.V,1754561440.13001,2245128446.330967,1478697490.2597744,8779041728.981525,7721173002.84174,6533913282.650558,7300344238.721751,3.9102625702010094,5.9370099610023965,0.8795006609152419,0.1915120266979573,0.0,0.06632505751032282,8.2,7.9
022100.KS,757052339.956523,574684057.5783398,673891591.7721859,509361802.8134445,3034340933.94006,-65322254.76489532,-164529788.95874143,0.8863336229646658,0.7558512511989288,5.957142677719393,0.22208829081613604,-0.0690731101,0.07400000000000001,6.3,6.05
CBRAIN.CO,38059013.9999107,85521436.89968365,84151965.32273985,225122369.64485973,354160441.599698,139600932.74517608,140970404.3221199,2.632350177990198,2.6751884971606996,1.5731908035545352,0.237609725531841,0.1902961507,0.07,8.5,7.55
TENB.OQ,999405000.0,1829281958.8440282,1309826369.5728457,2369450505.375372,2787128500.0,540168546.5313437,1059624135.8025262,1.2952899327081815,1.80898061026828,1.176276311185685,0.4699555006426312,0.0477786683,0.07,7.35,6.6
ALBFR.PA,69400202.0379941,51820895.74982545,53902901.81096527,-95532713.79298307,425587510.42364,-147353609.54280853,-149435615.60394835,-1.843517222361114,-1.772311148071609,,0.12665527180839736,-0.1836450564,0.07300000000000001,7.35,6.95
CCC.OQ,1057001000.0,3135789548.918362,647076389.6922624,1233422049.518344,4813319947.5,-1902367499.4000182,586345659.8260815,0.393336998633659,1.9061459654012978,3.9024111409226228,0.1344345268442728,0.2010653941,0.059922856016114,9.0,8.25
ALFAAL.L,167069107.533173,203285503.3998298,166699934.60142678,651926456.2789998,847252226.075475,448640952.87917,485226521.677573,3.2069500548534715,3.9107781166065316,1.2996131970335059,0.19675361063799296,0.1378680876,0.07300000000000001,8.65,7.85
RDVT.OQ,90252000.0,178237892.32711947,135055534.889996,398599309.5009296,805919382.5,220361417.17381012,263543774.6109336,2.236333162924646,2.951373372632173,2.021878521337781,0.16757945995919263,0.5473359461,0.07,7.1,6.85
018260.KS,9808297235.92467,8905909091.402874,11013272467.045317,9870516039.149092,9212218380.99006,964606947.7462177,-1142756427.896225,1.1083108908755177,0.8962382496832199,0.9333066624330433,1.1955070984608696,-0.1675000438,0.07400000000000001,6.65,5.5
ALKT.OQ,443639000.0,896685604.9495574,356151421.9244187,699194218.4040024,2447770256.25,-197491386.545555,343042796.47958374,0.7797540347972188,1.963193673707649,3.500844531920386,0.14550034710775717,0.0436684671,0.07,7.55,7.1
SAPG.DE,41594909364.7913,102121757193.8866,47844194282.56553,171983887379.13437,300622313915.648,69862130185.24777,124139693096.56885,1.6841062287305608,3.594665767875737,1.7479678968584615,0.1591505090203989,0.09001587820000001,0.07,8.9,8.25
TCX.OQ,390300000.0,69477834.9163456,8847809418.621939,-351162806.0723208,248949863.98,-420640640.9886664,-9198972224.69426,-5.0543141779696565,-0.03968923712724082,,35.54052722572586,-0.0815518647,0.07,7.0,5.95
ADMCM.HE,42652621.5677834,74436599.70335542,40075769.861141436,170204193.3462852,254094553.3984,95767593.64292978,130128423.48514375,2.286565936979693,4.247059855269801,1.4928806887938273,0.15771990908559863,0.1765514161,0.07,7.5,6.9
SVCO.OQ,63064000.0,215734006.318928,167160985.97007445,40717154.949803084,124087451.85,-175016851.36912492,-126443831.02027136,0.1887377685352458,0.24358049046858557,3.0475472071410064,1.3471224001935571,0.0,0.07,6.95,6.0
VITb.ST,371867200.73994,775010233.0219676,2905595.817781627,1884871321.8392234,1342540938.5368,1109861088.8172557,1881965726.0214417,2.4320599155053952,648.7038941563078,0.7122719322965627,0.0021642511854784554,0.144987199,0.05975912709621127,8.0,7.15
PCOR.N,1322509000.0,3424841471.1138496,2612306405.346492,2823942363.1447744,11308877616.4,-600899107.9690752,211635957.79828262,0.824546883983612,1.0810149825323463,4.004641795807158,0.2309960805976144,0.005753754000000001,0.07,7.35,6.7
BL.OQ,700427000.0,1319363071.4484496,1034734435.9059396,2037471547.751255,3289017873.72,718108476.3028054,1002737111.8453155,1.5442842018569136,1.969076776658535,1.6142644432753277,0.3146028618979857,0.0942144748,0.07,7.45,6.65
030520.KQ,230067461.509492,515018523.8139511,563411264.438279,497760196.5384648,385228235.000104,-17258327.27548629,-65651067.89981425,0.966489890212724,0.883475762655778,0.7739233423625812,1.4625388620284463,-0.1939664513,0.07400000000000001,8.2,6.35
CY4.MI,114774425.997967,65192957.71209973,76650434.763441,422626394.27809745,225628810.589244,357433436.5659977,345975959.5146564,6.482700112249371,5.513685546369168,0.5338729753844368,0.3397191810889022,0.1824483063,0.08406693428013755,7.6,6.55
VRNS.OQ,623532000.0,1953746197.555551,1725597887.0322704,633694332.3662317,3867031702.4,-1320051865.1893194,-1091903554.6660388,0.32434833816136643,0.3672317502984871,6.102361193543265,0.4462331886137139,-0.0613357857,0.0635795481994205,8.05,7.45
298830.KQ,66143395.1066632,163591477.43618572,165021765.20230743,264481016.49944344,293685743.54916,100889539.06325772,99459251.29713601,1.616716351269662,1.6027038383403822,1.1104227722513234,0.5618991347963899,0.0,0.07400000000000001,8.25,7.45
IDCC.OQ,834015000.0,1856297647.7680717,1906780008.5819192,7348509925.988048,8196550465.76,5492212278.219976,5441729917.406128,3.958691611134434,3.853884503148933,1.1154030610713135,0.23263200983721619,0.3399535027,0.07,7.6,6.8
CWAN.N,731368000.0,2794506389.9445963,234296957.0559466,2492809539.997461,7077878976.24,-301696849.94713545,2258512582.941514,0.8920393057490497,10.639530155751086,2.839317991476882,0.03310270744137713,0.0,0.06693016101005823,8.55,7.8
4375.T,127273519.527236,152230577.04210287,152252019.81473097,237234835.90880075,299549710.373444,85004258.86669788,84982816.09406978,1.5583914908447598,1.5581720111002912,1.2626716865840004,0.5082696278521542,0.0,0.07400000000000001,7.2,6.65
HYSG.BR,61456478.5864791,225163154.20674592,125929664.52820331,321081160.13926464,157701428.138543,95918005.93251872,195151495.61106133,1.425993348114347,2.5496864566597415,0.49115752562418213,0.7985321757363685,0.3373596412,0.07300000000000001,7.15,6.45
VRSN.OQ,1656600000.0,-1120030578.2316966,-42519419.11796951,7577919392.162571,22327105000.0,8697949970.394268,7620438811.28054,,,2.9463370939379097,-0.001904385683588155,0.7902218293000001,0.06824610342764909,9.45,9.45
HUBS.N,3131266000.0,6586477044.970118,6239004242.32517,12127966999.297543,21022321616.3,5541489954.327425,5888962756.972373,1.8413435462527399,1.943894655019125,1.7333755622453146,0.2967799825442522,0.1844503208,0.07,6.45,5.95
PAR.N,455547000.0,1176732683.4754052,180761413.65759826,270327927.3985591,1474924652.96,-906404756.0768461,89566513.74096084,0.22972755936391834,1.4954957583515,5.456057267754799,0.12255637146943839,0.007210283200000001,0.07,7.1,6.2
VIA.N,434337000.0,1202699909.72332,1028980435.3950799,71877543.0522201,2349543688.2,-1130822366.6711,-957102892.3428597,0.059763489188882926,0.06985316783464647,32.6881469291879,0.43794905392178013,0.0,0.07,7.05,6.35
ADEA.OQ,443386000.0,1247862850.2786717,673626753.9025267,2456834654.782938,1889050794.75,1208971804.5042663,1783207900.8804111,1.9688338780453956,3.647174997949146,0.7688961856152661,0.35659536301228767,-0.3469750752,0.0673013326484828,6.05,5.6
VERX.OQ,748444000.0,1041532478.732441,1022122442.5805831,1218237148.2684746,3189927920.0,176704669.53603363,196114705.68789148,1.169658338212444,1.191870071057979,2.6184786143929055,0.32042179892910655,0.07255997630000001,0.06900518048376258,8.3,7.5
DDOG.OQ,3427158000.0,8618475303.39782,8654742069.484955,15851128731.08949,47687715156.51,7232653427.691671,7196386661.604536,1.8392033594202224,1.8314963754931166,3.008474409962873,0.18148787462515845,0.208464254,0.07,8.35,7.55
307950.KS,2993965059.31734,1611354427.6903367,1527053332.3581176,2802983029.0664744,6320512890.57348,1191628601.3761377,1275929696.7083569,1.7395198603724815,1.8355501865400021,2.2549237098586747,0.24160275578831442,0.3013266185,0.07400000000000001,7.1,6.2
ACPP.WA,4477773434.7693,3130533244.421407,2416145708.645814,8752119875.210896,,5621586630.789488,6335974166.565082,2.7957281369898004,3.622347710195106,,,0.1807609614,0.06762041363501907,8.25,6.35
SHOP.OQ,11556000000.0,21481278958.675682,14085163877.200897,33029167695.22063,209557650647.18,11547888736.544949,18944003818.019733,1.5375791990206935,2.3449615484193016,6.344624017804218,0.06721378977909648,0.1818218296,0.07,7.35,7.0
EXOD.A,121551000.0,411406675.2104,176956839.49700883,732621099.2155533,433117119.03,321214424.0051533,555664259.7185445,1.7807710554061358,4.140111799566453,0.5911884321837793,0.40856579368951673,0.0,0.07,4.75,4.4
ACSO.L,155105000.0,440114869.0988235,274947019.0988235,96997381.70213409,,-343117487.3966894,-177949637.39668941,0.22039105813613008,0.3527857185724591,,,-0.0751036679,0.07300000000000001,7.2,6.5
U.N,1849648000.0,7856812657.128576,5310415924.345701,5362350197.548834,19119426200.0,-2494462459.5797424,51934273.20313263,0.682509617011615,1.0097796997340716,3.5654937659124943,0.2777497540352807,0.0229762453,0.07,7.7,6.25
FIG.N,1055788000.0,4568535259.683795,4321578899.683795,-595185669.8193116,19126800808.43,-5163720929.503107,-4916764569.503107,-0.1302793206110675,-0.13772412436178377,,0.22594363495326883,0.0,0.07,7.8,6.85
ABSP.WA,127229523.092569,146765985.38935012,91543653.87135722,542574494.4547211,792541057.727184,395808509.065371,451030840.5833639,3.696868133412146,5.926948199131097,1.46070459600884,0.11550651285358296,1.5958625687,0.07,7.35,6.8
DAST.PA,7048302603.72188,20033638881.26975,14800997727.9098,29495433055.279556,37560706798.6799,9461794174.009808,14694435327.369757,1.4722953343666396,1.992800323160708,1.27344144187626,0.39405535703151334,0.07321651330000001,0.07300000000000001,9.05,8.1
FTNT.OQ,6799600000.0,7467720449.414051,9831830698.021008,33694589802.62592,59053095779.82,26226869353.21187,23862759104.60491,4.512031486833407,3.427092149726308,1.7525987443603726,0.16649136794926175,0.3343762298,0.07,8.55,8.05
ACIW.OQ,1759782000.0,3072290511.6221876,1519826580.275909,4661738498.130943,4928637566.86,1589447986.5087557,3141911917.8550344,1.5173495086145086,3.0672831746926366,1.0572531189460896,0.30836647240916515,0.1441525099,0.0655846925678012,8.25,7.35
FROG.OQ,531840000.0,1757508143.1539268,1395332578.9192011,1566392826.409198,7389819611.64,-191115316.7447288,171060247.4899969,0.89125779161298,1.1225946058125418,4.7177307550497645,0.18881821915129796,0.0891497494,0.07,7.95,7.15
NN.OQ,4573000.0,5023219.245906264,12040564.965943277,-712978459.3289639,,-718001678.5748701,-725019024.2949071,-141.93655988836537,-59.21470141522616,,,0.0,0.07,6.25,4.95
PLTR.OQ,4475446000.0,11912801874.746292,11888254254.746292,26811784006.34978,423477170329.5,14898982131.603489,14923529751.603489,2.250669849818248,2.255317175408272,15.794442109081915,0.028072951950387913,0.1252822,0.07,8.2,7.3
4058.T,32492191.5532256,48419196.05288768,41548446.31911419,197852041.3605909,193386632.620492,149432845.30770323,156303595.04147673,4.086231443092934,4.761960046375306,0.977430565237583,0.21484652665032006,0.8031851645,0.07400000000000001,7.2,6.55
TRMB.OQ,3587300000.0,10126280316.205534,4183610311.3940783,10262614124.294903,18636348953.46,136333808.08936882,6079003812.900825,1.0134633650098732,2.453052115380975,1.8159455990206022,0.22448658381755376,0.0,0.06671910245037484,7.8,6.85
ADSK.OQ,7206000000.0,13614180005.831469,8603028159.920013,33165818017.997475,53608440000.0,19551638012.166008,24562789858.07746,2.436123071958157,3.855133030077846,1.616376233232339,0.1604789872624537,0.2795824159,0.07,8.7,8.3
S.N,1001278000.0,3157948616.4965544,2256140667.267152,1418742410.7954512,4751368536.12,-1739206205.7011032,-837398256.4717007,0.4492607648472165,0.6288359725876332,3.3490001426376153,0.4748401750181921,0.0,0.07,7.2,6.6
NTSK.OQ,708997000.0,2062768622.01581,2297478591.4375095,-1469052206.4782825,5839894085.85,-3531820828.4940925,-3766530797.915792,-0.7121749821085959,-0.6394193234066704,,0.39341100329272666,0.0,0.06395131614794583,7.05,6.35
NCNO.OQ,594781000.0,1786584785.4571767,574960086.8693749,871581092.153193,,-915003693.3039837,296621005.2838181,0.4878475957300624,1.515898428530757,,,0.0155146488,0.07,7.1,6.4
DSG.TO,728992000.0,2197704937.3803887,918482661.9964691,4184724479.48782,6426104842.7459,1987019542.1074314,3266241817.491351,1.9041339027412436,4.556127897277507,1.535610020264084,0.14292992169794694,0.1341169163,0.07,8.35,7.3
CRM.N,41525000000.0,107872449821.26949,44338108513.43034,150364491944.45728,198915730000.0,42492042123.18779,106026383431.02693,1.3939100501897521,3.391314988074215,1.3228903142470427,0.2228989558212935,0.1386428142,0.06846985785847054,7.65,6.55
RBRK.N,1316191000.0,1994368767.7037497,2574108191.1699343,820409519.6656094,11197919442.75,-1173959248.0381403,-1753698671.504325,0.4113630001387365,0.3187160207484257,13.649182724396177,0.22987379078142228,0.0,0.06816953774015816,7.0,6.65
CRWD.OQ,4812005000.0,10316261729.175882,10529955552.004011,17267468377.605255,111277511908.2,6951206648.429373,6737512825.601244,1.673810613855439,1.6398424753387484,6.444344328582611,0.09462788456926366,0.2073732613,0.07,8.7,8.0
DOCU.OQ,3219500000.0,6586428991.307692,5227497789.992742,9094745108.899216,,2508316117.591524,3867247318.906474,1.38083096635549,1.7397893742412933,,,0.1259015855,0.07,7.15,6.4
OKTA.OQ,2919000000.0,11388379563.491837,6119797045.357173,10418617682.429714,14972409070.08,-969761881.0621223,4298820637.072541,0.9148463681197521,1.702444967571902,1.4370821088223578,0.40873830101173386,0.0123107637,0.06283842558343743,7.05,6.35
MDB.OQ,2463797000.0,6439194444.661851,6084172092.92948,7387575041.790017,30223202240.8,948380597.1281662,1303402948.8605375,1.1472824908889623,1.2142284815341178,4.091085649869336,0.20130798994939436,0.0654019423,0.07,7.35,6.95
PD.N,492546000.0,1212591914.7710426,975501004.4616528,1046869220.8604746,972834122.4,-165722693.910568,71368216.39882183,0.8633318498236406,1.0731605770495414,0.9292795155448152,1.0027413533306928,-0.0198443091,0.06704107326661464,7.0,6.2
GTLB.OQ,955224000.0,2568833556.789927,2663629346.9492283,3456488262.9417524,5890632000.0,887654706.1518254,792858915.9925241,1.3455477696503853,1.297661128002145,1.7042245053037135,0.4521805719571734,0.0,0.07,7.1,6.3
WDAY.OQ,9552000000.0,21734894410.894,17238577649.52916,31930920638.51773,46190690000.0,10196026227.62373,14692342988.988571,1.4691086156145878,1.8522943880691842,1.4465818421871917,0.3732045927334959,0.0832939811,0.07,7.6,6.95
SNOW.N,4683946000.0,9539119082.748104,7720569328.521427,8588420487.769646,65941940000.0,-950698594.9784584,867851159.2482185,0.9003368563982144,1.1124076635180506,7.678005530109376,0.11708131924116014,-0.0494413248,0.06879758261458369,7.55,6.75
SAIL.OQ,1071416000.0,8448371667.594791,1925659819.1392572,2190670568.5749245,8811908174.4,-6257701099.019867,265010749.43566728,0.2593009226828437,1.137620750457432,4.022470699522988,0.21852926528826144,0.0,0.07,8.45,7.85
