Instrument,AV,tangible_repro,intangible_repro,EPV,FranchiseValue,FranchiseShare,AV_over_EV,ROIC,CompanyMoat(v3.2),CoreMoat(v3.2),MoatGap
SHO1.WA,34259451.34518689,9939491.513485868,9726857.487076787,143021174.4119367,108761723.06674981,0.760458886692462,0.11303880417206551,0.408089020946553,5.95,6.75,0.8
ZPTA.PK,71944161.125,4004.0099818373,45804580.5625,-231613355.2098717,-303557516.3348717,1.3106218165174857,0.28482430959165095,-0.6202446449332165,2.8,3.7,0.9
ATSI.MC,410202754.1627582,0.0,205101377.0813791,507947082.0807689,97744327.91801071,0.19243013960747263,1.6276313365823252,0.16717505596168358,4.55,5.0,0.45
ADMr.AT,772962004.3482761,157152.8381104091,0.0,899793863.4096576,126831859.06138146,0.14095657263183348,0.42052968803122087,0.08148598518989611,8.6,9.2,0.6
ENGP.WA,5560023253.560706,14075151262.34241,0.0,4415105693.088307,-1144917560.4723988,-0.2593182677970149,0.8372083733232014,0.05558563056696884,7.0,8.45,1.45
PSAGn.DE,1191680547.385035,135036801.9504071,513553287.4620588,555967597.0895035,-635712950.2955315,-1.1434352534635035,1.324464831544744,0.054897801427475655,6.2,7.45,1.25
EYDr.AT,804543509.6745442,3182863769.927612,1851.1205311986,25789170.771866713,-778754338.9026775,-30.196951495323653,0.8109599750961405,0.002243814145404473,8.1,8.7,0.6
PINE.L,131666340.75570549,4303697.838269816,46253538.19969688,162304656.8412649,30638316.085559413,0.1887704067266776,0.3297601318867653,0.13871737719463043,7.35,7.95,0.6
PGE.WA,13371524077.12434,70405163035.99854,0.0,13402616826.780752,31092749.656412125,0.0023199014086774023,2.1183971831751878,0.06787107209592687,6.7,8.45,1.75
GEB.CN,8897276213.323154,6092671842.350153,0.0,7270543798.757029,-1626732414.5661259,-0.2237428808068293,0.7180865840181938,0.0484388993726217,7.4,8.35,0.95
ROSNN.BX,1733277701.4926538,2321915482.650995,28696.6567027621,4048600230.0105014,2315322528.5178475,0.5718822301484289,0.4163290925985289,0.16350911802632687,8.6,8.95,0.35
EMAE4.SA,171033372.22484022,0.0,56247.1211932197,-23021229.06560591,-194054601.29044613,8.429376239532184,0.9321024380271543,-0.009897252487499964,6.15,6.3,0.15
ENAE.WA,4711883053.967631,20317756835.41953,0.0,4687403409.655389,-24479644.312242508,-0.0052224317330609735,1.682772581542268,0.06963632902552325,5.65,8.25,2.6
ENEI.MI,104673585891.26971,418416144106.2043,3735693.331210361,73410305546.8159,-31263280344.45381,-0.42587045662841305,0.5620994188326679,0.05718135071660372,7.25,7.85,0.6
ENEQ.PR,134578934.385792,0.0,0.0,92984962.69206344,-41593971.69372855,-0.4473193351862121,1.069415584465225,0.048365276617405105,5.05,5.75,0.7
NTEA_p.L,3174850570.54088,9280407737.201967,12529751.67854742,2668013155.498064,-506837415.04281616,-0.18996810941443798,1.6740861695096563,0.06158924774160857,8.3,8.3,0.0
MSGL.H,629471219.7107248,0.0,286992939.03022516,-662876993.1424382,-1292348212.853163,1.9496048682073732,3.414806606441574,-0.1290341313143238,6.75,7.0,0.25
EDNm.BA,1554415533.980582,6110545889.148004,0.0,-1175766666.0437262,-2730182200.024308,2.322044227713098,1.7156552554470934,-0.052948304249312135,6.9,7.35,0.45
HRA.MI,8399730820.995968,8299316160.359882,0.0,12542117755.810768,4142386934.8148003,0.3302781089657391,0.7254574828388698,0.10242103100496333,7.0,8.5,1.5
PANP.BU,53481817.03787588,108914444.7394877,0.0,46981966.15903305,-6499850.878842831,-0.13834778342057802,0.35121917030042005,0.06149263082821637,7.15,7.95,0.8
KGN.WA,664799680.26354,2285415126.86161,0.0,329691657.8248638,-335108022.43867624,-1.0164285764752037,1.6294135818842208,0.03141552497942794,6.5,6.65,0.15
EBKG.DE,36611864582.25488,130053168395.0399,0.0,7583711250.746201,-29028153331.508682,-3.8276975970904026,0.9844604079423084,0.014499665439315875,7.55,8.1,0.55
TTAN.OQ,3893671067.5098815,132183758.8611834,1387901033.7549405,-679086557.3630309,-4572757624.872912,6.733688916814142,0.6876465675583328,-0.01897063911494645,7.1,7.7,0.6
4432.T,829455422.0417726,28238781.0507467,296509387.64771235,721976337.4436849,-107479084.59808767,-0.1488678769980757,1.7750153723292417,0.10024701474995744,7.55,8.35,0.8
KARO.OQ,517911902.9058863,340713014.5044975,180492460.7336917,1018772194.199352,500860291.29346573,0.4916312931833493,0.34009350535553295,0.21086743413205736,7.15,7.9,0.75
9629.T,251189252.2364091,0.0,134114132.6203721,171302860.13117078,-79886392.10523832,-0.46634593283537334,3.716225653097976,0.10827588040294617,6.2,6.85,0.65
3962.T,623050615.2319005,21939469.8279759,133185861.1337896,1178734208.7432303,555683593.5113299,0.4714239982088933,1.316267178587045,0.16792220803944694,5.8,6.55,0.75
9505.T,8600828634.03512,103736733728.5034,41027854.86350642,-11800649349.76278,-20401477983.797897,1.728843674539657,1.181573731611438,-0.10201733362852348,7.25,8.05,0.8
UU.L,15328319914.466288,37250799512.02116,4072889.503727396,6214098846.064301,-9114221068.401987,-1.4667003686583582,1.1852676575353451,0.029602055815450567,8.1,8.25,0.15
3835.T,57589029.80177297,0.0,22160873.687148586,104509325.74078201,46920295.93900904,0.44895798156221034,0.6504074171534375,0.21829219900116342,7.55,8.55,1.0
9501.T,63073597649.37524,932878499544.8883,502974216.484877,-84517974529.69405,-147591572179.06927,1.7462743635345321,1.4759061276907728,-0.09995633369236594,6.8,7.15,0.35
6947.T,900119678.3977208,0.0,432901119.625669,346560556.52078605,-553559121.8769348,-1.5972940701453813,2.1286173067773553,0.0548896885644694,7.05,7.95,0.9
3661.T,68451315.24672295,0.0,46036261.157873,344243078.2116174,275791762.9648945,0.8011541274777828,0.3070403755338966,1.1364678258943557,6.45,7.05,0.6
4684.T,2223344456.214544,0.0,332129047.0469218,5028627477.43924,2805283021.2246966,0.5578625646482066,0.20960112658496236,0.1967615278125741,7.75,8.55,0.8
4828.T,186316695.66678065,0.0,79363396.18284017,217782252.9418897,31465557.275109053,0.14448173278611884,0.6030132315834958,0.15068152918573316,6.85,7.9,1.05
8174.T,630767564.440318,0.0,35332.7369977827,1232970654.2287269,602203089.7884089,0.4884164012525597,0.30724904966811817,0.13561359979824786,6.95,7.5,0.55
AGYS.OQ,937038676.7409843,74109310.70289722,360096838.3704921,186346146.84854054,-750692529.8924438,-4.028484315817894,0.3918577830079483,0.022609263901262232,7.05,7.4,0.35
9502.T,38345086147.728325,0.0,236064247.588735,10616415890.571438,-27728670257.156887,-2.6118673705862485,1.1912867667381803,0.02061492887329677,7.7,8.25,0.55
9504.T,23978501553.48332,418632783209.5043,204522533.9940972,-34013099417.712414,-57991600971.19573,1.7049784337206402,1.1650139027949564,-0.10587076546367692,7.7,8.25,0.55
PNN.L,7182356286.844456,16410608291.82922,2605459.953469657,2031056837.5321681,-5151299449.312287,-2.536265531382846,0.8067813047496185,0.020650737430124955,7.35,7.8,0.45
FAAS.DE,228116133.81447196,83486054.70927015,103414130.38144286,338047271.0456356,109931137.23116362,0.3251945708395415,1.3523331234826532,0.18975885167637113,6.45,8.0,1.55
9503.T,45101448916.87293,370501600395.3014,288567072.6412032,-34024347916.255657,-79125796833.12859,2.325563946967666,1.1329915133448805,-0.05618477638984978,7.7,8.25,0.55
3778.T,342429652.34608376,0.0,89768237.31008728,188330245.64943904,-154099406.69664472,-0.8182403530842722,0.3936392908033468,0.05515855349766396,6.1,6.5,0.4
9640.T,283372656.8708508,0.0,140143874.28404158,89051463.4412959,-194321193.42955488,-2.1821224033859297,2.0105561931543066,0.04600896674285349,7.45,8.05,0.6
4733.T,588964358.5929415,26240618.78157639,301377727.8126458,1537985121.5887334,949020762.9957919,0.6170545798358937,0.32237379824206785,0.395744748943191,7.9,8.3,0.4
4685.T,284641893.1165666,0.0,83688068.93240817,235881839.37770307,-48760053.73886353,-0.20671389483607958,1.3926602515752158,0.0868620250687723,5.05,6.55,1.5
CMG.TO,290972135.4779973,52241349.28214213,117475363.63112348,503991083.5959948,213018948.11799747,0.4226641205596327,1.262477583319055,0.19717137474068724,7.05,8.1,1.05
9790.T,277269293.34724206,0.0,118861388.92103705,374594873.8460209,97325580.49877882,0.25981556954990526,0.9966307560407991,0.17499139809351522,6.9,7.25,0.35
9928.T,891437791.3556459,0.0,379706891.67648876,454525769.0029874,-436912022.3526585,-0.9612480790935901,2.891945392332979,0.06572772315939754,6.95,7.8,0.85
3763.T,75893896.77772024,0.0,32214811.00973377,169921525.1983889,94027628.42066866,0.5533591362888742,0.27445647020193603,0.2878767410900511,7.45,8.35,0.9
3762.T,416212064.1073515,59918008.21015918,180516288.80592668,656770509.7664765,240558445.65912503,0.3662747368858854,1.4215720214727328,0.20620232866102403,6.15,8.05,1.9
9506.T,26867821789.515953,213961738987.2414,198864418.5882908,-18915088758.95697,-45782910548.47292,2.420443865313245,1.193723318264006,-0.052484862782400096,6.75,8.25,1.5
2326.T,84527129.84994708,0.0,44554328.51283604,292651563.8219153,208124433.97196823,0.7111680226612982,0.41300320304685995,0.5417737811314203,7.55,8.25,0.7
9513.T,20000756849.04343,0.0,246237044.0615694,-542290776.1634467,-20543047625.20688,37.881978687786486,1.3902395002863932,-0.0020314094107200145,7.4,7.8,0.4
3923.T,521410216.76475537,0.0,224609743.26067024,893315804.8038039,371905588.03904855,0.41632039424258144,0.2783319191294828,0.22272663104282964,6.8,7.4,0.6
4373.T,679048598.1192356,59821422.9587131,159474282.38739398,703197578.1980587,24148980.07882309,0.0343416712849108,0.4876166965431359,0.09798511215587517,7.15,8.1,0.95
9532.T,17108617790.817215,0.0,270084153.8280652,10510317552.671503,-6598300238.145712,-0.6277926623129062,0.9804840636321368,0.03975586926247932,8.0,8.35,0.35
SSE.L,25711608039.20296,71790245587.19577,52391067.95378214,18038448535.01867,-7673159504.184292,-0.42537801902908223,0.49557795317795383,0.05131905406668598,7.15,7.85,0.7
9537.T,280130999.7665328,0.0,15606.5855002811,-255360476.72591832,-535491476.4924511,2.09700218044001,3.1326621081360546,-0.04740853586134338,7.8,8.25,0.45
4419.T,123985276.64223167,0.0,39408296.87396676,46896495.45692281,-77088781.18530887,-1.6438068651871751,0.30968456846536513,0.04103174023618225,6.55,7.35,0.8
9507.T,8348704715.860146,468263025590.7828,105833891.2604202,-1729079261.9172227,-10077783977.777369,5.828410645908162,1.135812583565988,-0.015522730867020211,7.7,8.25,0.55
RNW.OQ,9158654183.73317,11832054974.3304,0.0,6927124675.401865,-2231529508.3313046,-0.32214369062180137,0.9253492580132958,0.05521336335664716,6.05,6.4,0.35
9533.T,3503855108.2120447,0.0,39673469.41112387,2426472606.229149,-1077382501.9828959,-0.44401181336936596,0.9416972046947286,0.045018750816049745,8.0,8.35,0.35
4498.T,67046190.84830126,0.0,29914299.158728823,95065111.50224867,28018920.653947413,0.29473400084619533,0.8681692849636213,0.18945488449601278,6.0,6.9,0.9
9509.T,11108647212.488428,124944429161.5309,59712069.06514741,-9773053621.227465,-20881700833.715893,2.136660827109349,1.1015517347349526,-0.06545481157985712,7.7,8.25,0.55
9531.T,19448404873.33435,0.0,189694267.2773815,15452708349.325098,-3995696524.0092525,-0.2585758064982677,1.008406183425611,0.048844759584217814,8.0,8.35,0.35
9508.T,29985164910.67286,260826833913.3556,129241341.6318412,-19846041897.788822,-49831206808.461685,2.5108889251117477,1.1170540254029684,-0.04918980640609756,7.7,8.25,0.55
9535.T,639783571.2245944,0.0,3252905.985755274,239379787.8999767,-400403783.3246176,-1.6726716438228435,1.987389120772735,0.027829145195937408,7.8,8.25,0.45
NG.L,99165831088.6789,0.0,117077355.9682781,52860171253.07199,-46305659835.6069,-0.876002834230618,0.734536564284522,0.03895851644824784,8.75,9.8,1.05
DT.N,5594039770.083658,217753439.8891338,2042659885.0418293,5952417216.207537,358377446.1238785,0.060207044148059816,0.5241712839079159,0.11732600246160936,7.3,7.9,0.6
4307.T,7586175684.731407,882312265.9190716,2302891110.121622,10697656557.501621,3111480872.770214,0.2908563063363929,0.4493336880479145,0.1468587151237949,7.95,8.75,0.8
9534.T,984639555.2799553,0.0,6821278.140144583,984423751.3526303,-215803.9273250103,-0.00021921852965096453,1.3441288659815482,0.05667136475717088,7.8,8.25,0.45
CVLT.OQ,3303328181.1218843,93902581.55087736,1640154590.5609422,1897440962.0949583,-1405887219.026926,-0.7409385836567429,0.645041869821545,0.0798598944213937,6.5,6.65,0.15
9511.T,2797575597.7742496,0.0,15313307.38995911,-314621968.62824214,-3112197566.4024916,9.891863495647597,1.2450651447994183,-0.008368019707902583,7.7,8.25,0.55
ESTC.N,4349574323.589276,60341451.47124199,2124935661.7946382,534651845.30001974,-3814922478.2892566,-7.135339589351859,0.8665931906944825,0.01641571868056159,6.45,7.3,0.85
4431.T,87389153.19223547,0.0,37213871.346939,224241155.69265267,136852002.5004172,0.6102894095318881,0.2909863800703337,0.3307175348295894,6.8,7.2,0.4
TCS.TO,282781086.5322984,18158563.13356217,129327925.49545781,174851915.3461264,-107929171.18617198,-0.6172604456320758,0.8453635570533108,0.07976136816947285,7.25,8.25,1.0
4716.T,2092123842.1176925,533782148.2908811,709124264.8522366,5726103934.932504,3633980092.814811,0.6346339734850878,0.3241031831724888,0.306385987494538,6.45,6.8,0.35
4443.T,564285988.833416,0.0,320656601.7480051,585420607.4009247,21134618.567508698,0.03610159652790404,0.5777944342140486,0.17781567924103112,7.15,7.0,-0.15
ORCL.N,220494198577.74066,82176878139.63245,57426599288.870346,276434581776.1514,55940383198.41077,0.2023639113419957,0.340646299345978,0.10997910862106298,6.4,8.4,2.0
4478.T,647212507.148556,0.0,346265614.0353571,-459325197.05594796,-1106537704.204504,2.409050736377788,1.0841713664262735,-0.09582309033384247,6.45,7.0,0.55
TRAK.N,72200205.54362285,5439142.143215971,25369928.271811422,62476652.084495574,-9723553.459127277,-0.15563499538958664,0.49843328001910436,0.09338756677717029,7.05,7.65,0.6
4847.T,110965662.1947267,25246125.60733883,44883188.71141792,194777670.63279983,83812008.43807313,0.43029577346202996,0.8919063676813161,0.21811452972425113,7.8,8.7,0.9
MSFT.OQ,674981390784.986,366812304885.9769,168372195392.49298,1365565992097.1223,690584601312.1364,0.5057130928191864,0.2291616640388262,0.18802437268720423,8.4,9.2,0.8
TEAM.OQ,17097074730.383461,475059843.136962,8850439365.19173,18202508550.466915,1105433820.0834541,0.06072975145258748,0.9226428766512799,0.15450854101187245,7.05,7.9,0.85
5254.T,24226291.606228717,0.0,7606271.2805117555,113870522.71805209,89644231.11182338,0.7872470326125228,0.17387026608486786,0.507004114074232,6.0,6.9,0.9
BKSB.L,80666528.16320418,69387883.83544561,11664134.62007522,82366771.7970744,1700243.6338702291,0.02064234881098764,0.42596032023857167,0.08657778074852487,7.15,7.75,0.6
INTA.OQ,1634651160.3774896,71258614.20481244,713997580.1887448,729496667.1043653,-905154493.2731242,-1.240793185342447,1.0720011495489679,0.05546577756949222,7.05,8.05,1.0
3836.T,218143379.56238803,0.0,107203614.64752263,385606755.7973367,167463376.23494866,0.4342853793852159,1.2789356308000892,0.25721074811092715,7.0,7.8,0.8
OTEX.TO,19202615816.693523,1701757563.47414,5024530408.346764,26681122431.527508,7478506614.833984,0.2802920542052262,1.8120191684558282,0.09899136778081388,6.0,6.8,0.8
ZS.OQ,6543739691.098364,1116472273.333909,3308074345.549182,4118007353.816055,-2425732337.282309,-0.5890548823411992,0.3525554410426159,0.08908848226954018,7.8,8.5,0.7
350A.T,67394636.65802708,0.0,16310158.318399183,195113753.35358226,127719116.69555518,0.6545879749650682,0.42393847940129187,0.2826380579277588,6.45,6.9,0.45
PANW.OQ,27251828613.06122,1676797255.037725,11165314306.530611,20581108578.424995,-6670720034.636223,-0.32411859687816247,0.1160709514903307,0.08955809649234459,7.65,8.15,0.5
INTU.OQ,66540931101.66728,3695174229.015528,22704965550.83364,80388139243.52856,13847208141.861282,0.1722543682708269,0.8282038651425012,0.12548437113388694,7.8,8.75,0.95
TRCS.L,245383555.12663907,25440017.48891624,93468494.54096349,152063932.29241312,-93319622.83422595,-0.6136867660029723,2.2412137090969506,0.07307153757204811,6.4,7.8,1.4
NTNX.OQ,7947596493.376339,1058950567.018823,4642499746.6881695,-989805869.1897067,-8937402362.566046,9.029449754508477,0.6433940251329141,-0.020400589811118378,6.6,6.95,0.35
GWRE.N,4258851751.0772204,209402475.8353678,1638248375.5386105,704722352.0177414,-3554129399.0594788,-5.04330448563664,0.47238703115098324,0.018730994124184754,8.4,9.2,0.8
PCYO.OQ,127598000.0,107531608.8902328,0.0,67534292.66387436,-60063707.33612564,-0.8893808606994577,0.49837476029386013,0.03704917386221732,7.55,8.0,0.45
DLB.N,6746445207.881042,1696783918.772723,2408547603.9405212,4045974591.775697,-2700470616.1053443,-0.6674462616731762,1.526884385741056,0.0652892823396811,7.25,7.95,0.7
ATO.N,22252591000.0,0.0,0.0,13400968120.976063,-8851622879.023937,-0.660521150346504,0.7859049256527832,0.04215544016731915,8.05,8.3,0.25
NJR.N,5966122033.76898,8550055861.685578,16.8844902838,3324779193.1440544,-2641342840.6249256,-0.7944415815858009,0.6395952064635944,0.03900935027165566,7.1,8.4,1.3
MITK.OQ,721577661.2529004,12946195.21764867,258907330.62645018,568759695.9725358,-152817965.2803645,-0.26868634743722025,0.9506224543546272,0.08605085756022206,6.45,7.95,1.5
4071.T,120307524.47328076,0.0,59665033.365781695,475450531.32986546,355143006.85658467,0.7469610053084325,0.2065888270287263,0.580176352848725,6.6,7.65,1.05
NFG.N,5886045000.0,25351788322.00847,0.0,6880446802.224829,994401802.2248287,0.14452575985374724,0.5990002149584639,0.07228070909986323,7.0,8.25,1.25
FICO.N,4522097745.032522,158213144.0247002,1669559872.5162606,9198193046.85404,4676095301.821518,0.5083710765801803,0.14796966368372283,0.21518153254005204,9.4,10.1,0.7
DJCO.OQ,149202603.53029,66880233.47592694,124374801.765145,157831261.56742397,8628658.037133962,0.05467014551770458,0.4547789148057676,0.4449926100678757,6.3,7.2,0.9
BHAV.VI,96856526.75114396,0.0,0.0,0.0,-96856526.75114396,-inf,,0.0,6.5,6.5,0.0
PTC.OQ,11154247499.239403,654224419.7287306,3164656749.6197014,9398110991.728582,-1756136507.5108204,-0.18686058390419333,0.7608929300036412,0.07940280228048986,7.4,8.2,0.8
4475.T,137998478.1722461,0.0,80246399.32953075,198023628.64370942,60025150.47146332,0.3031211521704944,0.7642735675430364,0.25373542932615784,6.95,7.55,0.6
SR.N,8586200000.0,21632511278.81718,0.0,3605468082.1072083,-4980731917.892792,-1.381438360974704,0.860393774300357,0.029394000343283943,6.6,7.1,0.5
MVVGn.DE,3859534201.572221,16806449900.69835,0.0,313897585.3009584,-3545636616.271262,-11.295520521038034,0.9165785577376412,0.005693130264816991,6.65,8.8,2.15
EVNV.VI,9054429955.918022,24229906077.92152,11786138.34854798,2764971561.0788326,-6289458394.83919,-2.274691893172738,1.2170240840106916,0.01955584744679228,7.65,8.0,0.35
DOX.OQ,9022338889.540472,2981762226.785006,2614878444.770236,8266719246.935983,-755619642.6044893,-0.09140502054482567,1.3713799105020006,0.0863698478808415,6.75,7.45,0.7
RGCO.OQ,259246015.0,485890991.5175455,0.0,250341565.58799765,-8904449.412002355,-0.03556920078808227,0.6428220109775405,0.0664068496540901,7.35,7.95,0.6
IIIV.OQ,958576511.0831585,18555739.59084975,253762755.5415792,498265939.9900041,-460310571.0931544,-0.9238250784358024,1.812782380229403,0.049486287015637974,7.35,7.7,0.35
SNPS.OQ,58813774799.57793,2790531668.142664,9981601899.788961,30093078000.77249,-28720696798.805435,-0.9543954526043555,0.6262342319098192,0.041426964090836856,9.15,9.4,0.25
ADBE.OQ,63903470423.71736,4858525006.456813,26332735211.85868,117524314908.16377,53620844484.44641,0.4562531977008076,0.8309136455684881,0.21892584205778268,7.2,8.1,0.9
5246.T,89056887.22845143,0.0,33909164.07532081,-14362125.192781296,-103419012.42123273,7.2008154108845455,0.8830644130425933,-0.01927182490045345,7.0,8.05,1.05
CU.TO,13225007286.50539,31382573698.5675,0.0,7132184215.315436,-6092823071.189954,-0.8542716911470697,0.8250679544312762,0.03775067069955502,7.3,8.1,0.8
SRG.MI,30754987049.901237,70020729121.86977,7468978.011927358,14858908391.968338,-15896078657.9329,-1.0698012423661742,1.2332891474984644,0.04107672074098247,7.65,8.15,0.5
WIIT.MI,439227938.6936771,288156351.8830519,75075138.20393765,442276100.1754358,3048161.481758654,0.006891987788961585,0.44900362224288165,0.10323542332876084,7.15,7.65,0.5
WK.N,2609245023.456422,81059539.86841513,1362565011.7282107,971776110.3640313,-1637468913.0923905,-1.6850269271169755,1.0122771100322612,0.054564384674126144,6.9,7.7,0.8
IG.MI,17671042833.8208,1793501321.079714,0.0,22927005531.09473,5255962697.27393,0.2292476743264852,0.7135622736408072,0.0848564864022823,7.6,8.1,0.5
ORSTED.CO,24668569144.4451,70205969217.53926,619704548.00375,24045160531.823944,-623408612.6211548,-0.02592657311628546,0.7283678090206469,0.06600076701040491,6.4,7.5,1.1
WWGG.F,1443806302.338422,4882594789.979521,0.0,349718075.07198524,-1094088227.2664368,-3.128486358736911,0.5126480150685011,0.016955366668915468,7.35,7.7,0.35
WEC.N,35838503970.89047,63377432548.11319,1985.4452385519,19481638737.56977,-16356865233.320702,-0.8396041756886172,0.6009106233828171,0.03805166611550106,7.9,7.9,0.0
CUPu.TO,823272000.0,2141809609.570856,0.0,272560762.1557911,-550711237.844209,-2.0205081372990574,0.8176703825178119,0.02317490859752959,8.5,8.9,0.4
ISA.CN,15240153687.845741,14955909333.31625,43305430.82859051,24053445181.36528,8813291493.519539,0.36640453901993986,0.8495788571774644,0.08779424810016265,8.05,8.95,0.9
ORYGENC1.LM,987538809.2547437,5741368390.97168,0.0,2885266670.596194,1897727861.3414502,0.6577304901072855,0.3972156369863499,0.20451719471577157,7.2,7.7,0.5
CGPA2m.BA,222833638.8697449,1851386379.506411,0.0,-330484028.85013914,-553317667.719884,1.6742644709490357,0.9278751406701701,-0.10381683006591483,7.2,7.65,0.45
